Building Number,Heating Source,CUP (Y/N),Campus Group,Phase,,
E51,Medium Temp Hot Water,Y,Sloan,1,,
E52,Medium Temp Hot Water,Y,Sloan,1,,
E53,Medium Temp Hot Water,Y,Sloan,1,,
E60,Medium Temp Hot Water,Y,Sloan,1,,
E62,Medium Temp Hot Water,Y,Sloan,1,,
NW10,Unknown,N,NW Hot Water,2,,
NW16,Unknown,N,NW Hot Water,2,,
NW17,Unknown,N,NW Hot Water,2,,
NW21,Unknown,N,NW Hot Water,2,,
NW22,Unknown,N,NW Hot Water,2,,
NW23,Unknown,N,NW Hot Water,2,,
NW32,Unknown,N,NW Hot Water,2,,
NW35,Medium Temp Hot Water,Y,NW Hot Water,2,,
NW86,Unknown,N,NW Hot Water,2,,
W18,Medium Temp Hot Water,Y,NW Hot Water,2,New music building,
W59,Unknown,N,NW Hot Water,2,,
W64,Unknown,N,NW Hot Water,2,,
W79,Medium Temp Hot Water,Y,NW Hot Water,2,,
W87,Medium Temp Hot Water,Y,NW Hot Water,2,,
W88,Medium Temp Hot Water,Y,NW Hot Water,2,,
NW13,Steam,Y,West Campus Steam,3,,
NW14,Steam,Y,West Campus Steam,3,,
NW15,Steam,Y,West Campus Steam,3,,
W1,Steam,Y,West Campus Steam,3,,
W11,Unknown,N,West Campus Steam,3,,
W15,Steam,Y,West Campus Steam,3,,
W16,Steam,Y,West Campus Steam,3,,
W31,Steam,Y,West Campus Steam,3,,
W32,Steam,Y,West Campus Steam,3,,
W33,Steam,Y,West Campus Steam,3,,
W34,Steam,Y,West Campus Steam,3,,
W35,Steam,Y,West Campus Steam,3,,
W51,Steam,Y,West Campus Steam,3,,
W51c,Steam,Y,West Campus Steam,3,,
W61,Steam,Y,West Campus Steam,3,,
W7,Steam,Y,West Campus Steam,3,,
W70,Steam,Y,West Campus Steam,3,,
W71,Steam,Y,West Campus Steam,3,,
W84,Steam,Y,West Campus Steam,3,,
W91,Steam,Y,West Campus Steam,3,,
W92,Steam,Y,West Campus Steam,3,,
W97,Steam,Y,West Campus Steam,3,,
W98,Steam,Y,West Campus Steam,3,,
E1,Steam,Y,East Campus Steam,4,,
E14,Steam,Y,East Campus Steam,4,,
E15,Steam,Y,East Campus Steam,4,,
E17,Steam,Y,East Campus Steam,4,,
E18,Steam,Y,East Campus Steam,4,,
E19,Steam,Y,East Campus Steam,4,,
E2,Steam,Y,East Campus Steam,4,,
E23,Steam,Y,East Campus Steam,4,,
E25,Steam,Y,East Campus Steam,4,,
E38,Steam,Y,East Campus Steam,4,,
E40,Steam,Y,East Campus Steam,4,,
1,Steam,Y,Central Campus,5,,
2,Steam,Y,Central Campus,5,,
3,Steam,Y,Central Campus,5,,
4,Steam,Y,Central Campus,5,,
5,Steam,Y,Central Campus,5,,
8,Steam,Y,Central Campus,5,,
9,Steam,Y,Central Campus,5,,
10,Steam,Y,Central Campus,5,,
11,Steam,Y,Central Campus,5,,
12,Steam,Y,Central Campus,5,,
13,Steam,Y,Central Campus,5,,
14,Steam,Y,Central Campus,5,,
16,Steam,Y,Central Campus,5,,
17,Steam,Y,Central Campus,5,,
18,Steam,Y,Central Campus,5,,
24,Steam,Y,Central Campus,5,,
26,Steam,Y,Central Campus,5,,
31,Steam,Y,Central Campus,5,,
33,Steam,Y,Central Campus,5,,
34,Steam,Y,Central Campus,5,,
35,Steam,Y,Central Campus,5,,
37,Steam,Y,Central Campus,5,,
38,Steam,Y,Central Campus,5,,
39,Steam,Y,Central Campus,5,,
41,Steam,Y,Central Campus,5,,
50,Steam,Y,Central Campus,5,,
51,Steam,Y,Central Campus,5,,
54,Steam,Y,Central Campus,5,,
56,Steam,Y,Central Campus,5,,
32,Steam,Y,Central Campus NE,6,,
36,Steam,Y,Central Campus NE,6,,
46,Steam,Y,Central Campus NE,6,,
48,Steam,Y,Central Campus NE,6,,
57,Steam,Y,Central Campus NE,6,,
66,Steam,Y,Central Campus NE,6,,
68,Steam,Y,Central Campus NE,6,,
76,Steam,Y,Central Campus NE,6,,
