,building_id,retrofit_year_slow,retrofit_year_fast,sched_partial_flag
0,18,2025,2034,0
1,37,2025,2028,1
2,51,2025,2031,0
3,13,2025,2028,1
4,1,2025,2027,1
5,E60,2026,2026,0
6,W85FG,2026,2028,1
7,W61,2026,2026,0
8,NW12,2026,2029,1
9,4,2026,2025,1
10,38,2027,2026,1
11,W71,2027,2025,1
12,W51D,2027,2030,1
13,N16A,2027,2031,1
14,N51,2027,2034,0
15,W1,2028,2029,0
16,66,2028,2028,1
17,36,2028,2025,1
18,NW21,2028,2031,0
19,57,2028,2033,1
20,41,2029,2026,0
21,24,2029,2029,1
22,26,2029,2031,0
23,N57,2029,2035,1
24,NW32,2029,2027,1
25,10,2030,2027,1
26,W31,2030,2031,1
27,11,2030,2025,1
28,W85ABC,2030,2032,1
29,E62,2030,2027,0
30,46,2031,2028,1
31,N52,2031,2025,1
32,NW16,2031,2026,1
33,N16C,2031,2032,0
34,W84,2031,2033,1
35,NW20,2032,2025,1
36,W85DE,2032,2032,0
37,W70,2032,2035,1
38,E40,2032,2031,1
39,E17,2032,2032,1
40,12,2033,2033,1
41,W85,2033,2034,0
42,9,2033,2025,0
43,NW12A,2033,2035,1
44,W20,2033,2032,1
45,N16B,2034,2033,0
46,NW10,2034,2033,1
47,68,2034,2025,1
48,50,2034,2027,1
49,W83,2034,2028,1
50,N10,2035,2033,0
51,NW23,2035,2033,1
52,W4,2035,2025,1
53,W7,2035,2031,0
54,5,2035,2026,0
55,W32,2036,2032,0
56,35,2036,2033,1
57,7,2036,2027,1
58,76,2036,2033,0
59,NW61,2036,2030,0
60,W2,2037,2030,1
61,33,2037,2030,1
62,W33,2037,2027,1
63,W64,2037,2029,1
64,W34,2037,2026,0
65,W51C,2038,2035,1
66,W91,2038,2032,0
67,48,2038,2034,1
68,W79,2038,2027,0
69,8,2038,2034,1
70,E19,2039,2028,1
71,39,2039,2028,1
72,W92,2039,2028,1
73,NW17,2039,2026,1
74,31,2039,2034,1
75,N9,2040,2032,1
76,6,2040,2031,1
77,56,2040,2034,1
78,NW38A,2040,2029,1
79,WW15,2040,2031,1
80,E53,2041,2029,1
81,NW14,2041,2030,1
82,E15,2041,2026,1
83,NW13,2041,2034,1
84,W11,2041,2029,1
85,NW22,2042,2035,0
86,W16,2042,2031,1
87,W98,2042,2034,1
88,W97,2042,2032,0
89,2,2042,2028,0
90,E2,2043,2030,1
91,34,2043,2035,1
92,NW86,2043,2033,1
93,E14,2043,2025,0
94,E1,2043,2029,1
95,NW38,2044,2034,1
96,3,2044,2027,1
97,16,2044,2030,0
98,W15,2044,2029,0
99,NW15,2044,2035,1
100,NW30,2045,2026,1
101,E18,2045,2030,1
102,W85HJK,2045,2032,0
103,W35,2045,2030,1
104,E52,2045,2029,0
105,NW35,2046,2030,0
106,NW36,2046,2027,1
107,7A,2046,2037,0
108,54,2046,2036,0
109,14,2046,2036,0
110,32,2047,2037,0
111,W51,2047,2035,0
112,W59,2047,2036,0
113,W46,2047,2036,0
114,62,2047,2037,0
115,E51,2048,2036,0
116,17,2048,2036,0
117,W8,2048,2036,0
118,64,2048,2036,0
119,6C,2048,2037,0
120,E23,2049,2036,0
121,E38,2049,2035,0
122,W41,2049,2036,0
123,W5,2049,2035,0
124,45,2049,2037,0
125,E25,2050,2037,0
126,42C,2050,2037,0
127,E37,2050,2037,0
